date,asset_id,prompt_key,model,resolution,aspect_ratio,credits,job_id,outcome,notes
2026-09-19,landing-c,landing-C,nano_banana_2_shots,1k,1:1,~4,,approved,ASSET-020. Same mood plate.
2026-09-19,landing-d,landing-D,nano_banana_2_shots,1k,21:9,~4,,approved,ASSET-020. Same mood plate. Sheet 2400x1340; slot token 21x9.
2026-09-19,about-a,about-A,nano_banana_2_shots,1k,16:9,~4,,approved,ASSET-021. Same mood plate. Jose auto-approve.
2026-09-19,about-b,about-B,nano_banana_2_shots,1k,4:3,~4,,approved,ASSET-021. Same mood plate. Sheet 2400x2400; slot token 4x3.
2026-09-19,about-c,about-C,nano_banana_2_shots,1k,3:1,~4,,approved,ASSET-021. Same mood plate. Delivered pre-cropped 2400x800 (21:9 generate then 3:1 crop).
2026-09-19,contact-a,contact-A,nano_banana_2_shots,1k,16:9,~4,,approved,ASSET-022. Same mood plate. No invented storefront. Real location photo would replace this slot.
2026-09-19,contact-b,contact-B,nano_banana_2_shots,1k,1:1,~4,,approved,ASSET-022. Same mood plate. Non-scannable QR / no app UI.
2026-09-19,faqs-a,faqs-A,nano_banana_2_shots,1k,3:2,~4,,approved,ASSET-023. Same mood plate. Only FAQ image; no further FAQ gens.
2026-09-19,coaches-c-yoga,coaches-C,nano_banana_2_shots,1k,1:1,~4,,approved,ASSET-015 specialty yoga. Same mood plate. Source-free; no full face.
2026-09-19,coaches-c-boxing,coaches-C,nano_banana_2_shots,1k,1:1,~4,,approved,ASSET-015 specialty boxing. Same mood plate.
2026-09-19,coaches-c-capoeira,coaches-C,nano_banana_2_shots,1k,1:1,~4,,approved,ASSET-015 specialty capoeira. Same mood plate. Group hero still skipped.
2026-09-19,studio-mood-plate,mood-plate,gpt_image_1.5,1k,16:9,~?,d8a483d7-a892-4161-b14f-58d96b5f14da,approved,Empty Cebu-style studio mood plate for marketing refresh (replace desert 0dad9831).
2026-09-19,landing-a,landing-A,nano_banana_2_shots,1k,16:9,~4,536d6708-studio-v2,approved,CTA refresh studio ref. docs/assets/marketing/landing/hero-accent-16x9.webp
2026-09-19,landing-b,landing-B,nano_banana_2_shots,1k,3:2,~4,24a7c0a5-studio-v2,approved,CTA refresh. classes-editorial-3x2
2026-09-19,landing-c,landing-C,nano_banana_2_shots,1k,1:1,~4,6569ccb2-studio-v2,approved,CTA refresh. how-it-works-still-life-1x1
2026-09-19,landing-d,landing-D,nano_banana_2_shots,1k,21:9,~4,f5017b03-studio-v2,approved,CTA refresh. final-cta-21x9
2026-09-19,landing-e,landing-E,nano_banana_2_shots,1k,21:9,~4,ea81b020-studio-v2,approved,NEW mid-cta-21x9 strip
2026-09-19,about-a,about-A,nano_banana_2_shots,1k,16:9,~4,bff2ec31-studio-v2,approved,CTA refresh. about/hero-16x9
2026-09-19,about-b,about-B,nano_banana_2_shots,1k,4:3,~4,88d1ec4f-studio-v2,approved,CTA refresh. our-approach-4x3
2026-09-19,about-d,about-D,nano_banana_2_shots,1k,21:9,~4,about-cta-studio-v2,approved,NEW about/cta-band-21x9
2026-09-19,contact-a,contact-A,nano_banana_2_shots,1k,16:9,~4,contact-studio-v2,approved,CTA refresh. visit-hero-16x9
2026-09-19,faqs-a,faqs-A,nano_banana_2_shots,1k,3:2,~4,faqs-studio-v2,approved,CTA refresh. header-accent-3x2
2026-09-19,coaches-c-yoga,coaches-C,nano_banana_2_shots,1k,1:1,~4,yoga-studio-v2,approved,CTA refresh specialty yoga
2026-09-19,coaches-c-boxing,coaches-C,nano_banana_2_shots,1k,1:1,~4,boxing-studio-v2,approved,CTA refresh specialty boxing
2026-09-19,coaches-c-capoeira,coaches-C,nano_banana_2_shots,1k,1:1,~4,capoeira-studio-v2,approved,CTA refresh specialty capoeira
2026-09-19,coaches-c-calisthenics,coaches-C,nano_banana_2_shots,1k,1:1,~4,cal-studio-v2,approved,NEW specialty-accent-calisthenics-1x1
2026-09-19,coaches-c-pilates,coaches-C,nano_banana_2_shots,1k,1:1,~4,pil-studio-v2,approved,NEW specialty-accent-pilates-1x1
2026-09-19,coaches-c-dance,coaches-C,nano_banana_2_shots,1k,1:1,~4,dan-studio-v2,approved,NEW specialty-accent-dance-1x1
